Ort;Plz
Elskop;25361
Elslaake;14715
Elsnig;4880
Elsnigk;6386
Elsoff;56479
Elstal;14627
Elster;6918
Elsterberg;7985
Elsterheide;2979
Elstertrebnitz;4523
Elsterwerda;4910
Elstra;1920
Elterlein;9481
Eltmann;97483
Eltville;65343
Eltville;65344
Eltville;65345
Eltville;65346
Eltville;65347
Elxleben;99189
Elxleben;99334
Elz;65604
Elzach;79215
Elze;31008
Elztal;74834
Elzweiler;66887
Embsen;21409
Embühren;24819
Emden;26721
Emden;26723
Emden;26725
Emden;39343
Emeringen;88499
Emerkingen;89607
Emersacker;86494
Emersleben;38822
Emishalden;88430
Emkendorf;24802
Emleben;99869
Emlichheim;49824
Emmelbaum;54673
Emmelsbüll-Horsbüll;25924
Emmelshausen;56281
Emmendingen;79312
Emmendorf;29579
Emmerich;46446
Emmering;82275
Emmering;83550
Emmerthal;31860
Emmerting;84547
Emmerzhausen;57520
Emmingen-Liptingen;78576
Empfertshausen;36452
Empfingen;72186
Emsbüren;48488
Emsdetten;48282
Emseloh;6528
Emskirchen;91448
Emstal;14797
Emstek;49685
Emtinghausen;27321
Emtmannsberg;95517
Endingen;79346
Endlichhofen;56355
Endorf;6333
Endschütz;7570
Engden;48465
Engedey;83471
Engelbrechtsche Wildnis;25348
Engelhof;73266
Engeln;27305
Engelsbach;99898
Engelsberg;54538
Engelsberg;84549
Engelsbrand;75331
Engelschoff;21710
Engelskirchen;51766
Engelstadt;55270
Engelthal;91238
Engen;78234
Enger;32130
Engerda;7407
Engersen;39638
Enge-Sande;25917
Englertshofen;82282
Englstetten;83552
Engstingen;72829
Eningen;72800
Enkenbach-Alsenborn;67677
Enkirch;56850
Enklarn;93437
Ennepetal;58256
Ennepetal;58256
Ennigerloh;59320
Ensch;54340
Ensdorf;66806
Ensdorf;83546
Ensdorf;92266
Ense;59469
Ensheim;55232
Enspel;57647
Entrischenbrunn;85307
Enzen;54646
Enzersdorf;83329
Enzklösterle;75337
Epenwöhrden;25704
Epfach;86920
Epfenbach;74925
Epfendorf;78736
Eppelborn;66571
Eppelheim;69214
Eppelsheim;55234
Eppenberg;56759
Eppenbrunn;66957
Eppendorf;9575
Eppenrod;65558
Eppenschlag;94536
Eppertshausen;64859
Eppingen;75031
Eppishausen;87745
Eppstein;65817
Erbach;55494
Erbach;64711
Erbach;89155
Erbendorf;92681
Erbenhausen;98634
Erbes-Büdesheim;55234
Erbmühle;92345
Erdeborn;6317
Erden;54492
Erdesbach;66887
Erdfunkstelle Usingen;61250
Erding;85435
Erdmannhausen;71729
Erdweg;85253
Eresing;86922
Erfde;24803
Erfderdamm;25868
Erfenstein;67466
Erftstadt;50374
Erfurt;99084
Erfurt;99085
Erfurt;99086
Erfurt;99087
Erfurt;99089
Erfurt;99091
Erfurt;99092
Erfurt;99094
Erfurt;99096
Erfurt;99097
Erfurt;99098
Erfurt;99099
Erfweiler;66996
Ergersheim;91465
Ergeshausen;56368
Ergolding;84030
Ergoldsbach;84061
Erharting;84513
Ering;94140
Eriskirch;88097
Erkelenz;41812
Erkelshäuserhof;66851
Erkenbrechtsweiler;73268
Erkerode;38173
Erkheim;87746
Erkner;15537
Erkrath;40699
Erlabrunn;8349
Erlabrunn;97250
Erlachskirchen;91469
Erlangen;91052
Erlangen;91054
Erlangen;91056
Erlangen;91058
Erlau;9306
Erlau;98553
Erlbach;8265
Erlbach;9326
Erlbach;84567
Erlbach-Kirchberg;9385
Erlenbach;63906
Erlenbach;74235
Erlenbach;76872
Erlenbach;76891
Erlenbach;97837
Erlenbacher Forsthaus;67468
Erlenborn;56340
Erlenfurt;97840
Erlenhof;73249
Erlenmoos;88416
Erlenmühle;66917
Erlenmühle;78554
Erlensee;63526
Erlenwasen;73087
Erlhof;94565
Erligheim;74391
Ermershausen;96126
Ermke;49696
Ermlitz;6184
Ermsleben;6463
Ermstedt;99192
Ermstedt;99192
Erndtebrück;57339
Ernsgaden;85119
Ernst;56814
Ernstroda;99894
Ernstthal;98724
Ernzen;54668
Erolzheim;88453
Erpel;53579
Erpolzheim;67167
Ersfeld;57635
Ertingen;88521
Erwitte;59597
Erxleben;39343
Erxleben;39606
Erzenhausen;67685
Erzhausen;64390
Esch;54518
Esch;54585
Eschach;73569
Eschau;63863
Eschbach;56357
Eschbach;76831
Eschbach;79427
Eschborn;65760
Eschbronn;78664
Eschdorf;7407
Esche;49828
Escheburg;21039
Eschede;29348
Eschelbronn;74927
Eschenbach;73107
Eschenbach;92676
Eschenbergen;99869
Eschenburg;35713
Eschenlohe;82438
Eschenlohe;83565
Eschenrode;39356
Eschenthal;96523
Eschershausen;37632
Eschfeld;54619
Eschlhof;93449
Eschlkam;93458
Eschwege;37269
Eschweiler;52249
Eselhöfe;73349
Esens;26427
Esgrus;24402
Eslarn;92693
Eslingholz;24891
Eslohe;59889
Espelkamp;32339
Espenau;34314
Espenhain;4579
Esperstedt;6279
Esperstedt;6567
Eßbach;7924
Eßbaum;83552
Essel;29690
Esselbach;97839
Esselborn;55234
Essen;45127
Essen;45128
Essen;45130
Essen;45131
Essen;45133
Essen;45134
Essen;45136
Essen;45138
Essen;45139
Essen;45141
Essen;45143
Essen;45144
Essen;45145
Essen;45147
Essen;45149
Essen;45219
Essen;45239
Essen;45257
Essen;45259
Essen;45276
Essen;45277
Essen;45279
Essen;45289
Essen;45307
Essen;45309
Essen;45326
Essen;45327
Essen;45329
Essen;45355
Essen;45356
Essen;45357
Essen;45359
Essen;49632
Essenbach;84051
Essenheim;55270
Essing;93343
Essingen;73457
Essingen;76879
Eßleben;99628
Eßlingen;54636
Esslingen;73728
Esslingen;73730
Esslingen;73732
Esslingen;73733
Esslingen;73734
Eßweiler;67754
Estedt;39638
Estenfeld;97230
Esterwegen;26897
Esthal;67472
Estorf;21727
Estorf;31629
Etgersleben;39448
Etgert;54424
Etingen;39359
Etschberg;66871
Ettal;82488
Etteldorf;54655
Ettendorf;83359
Ettenhausen a d Nesse;99819
Ettenhausen a d Suhl;99819
Ettenheim;77955
Ettenstatt;91796
Ettersburg;99439
Ettinghausen;56244
Ettlingen;76275
Ettringen;56729
Ettringen;86833
Etzbach;57539
Etzelsrode;99735
Etzelwang;92268
Etzenbachermühle;66894
Etzenricht;92694
Etzin;14641
Etzleben;6577
Etzoldshain;6729
Euerbach;97502
Euerdorf;97717
Eulau;6618
Eulenberg;57632
Eulenbis;67685
Eulenhof;73655
Eulenkrug;23923
Eulenkrug;23948
Eulenmühle;74597
Eulgem;56761
Eulowitz;2692
Eurasburg;82547
Eurasburg;86495
Eurastetten;82282
Euscheid;54597
Euskirchen;53879
Euskirchen;53881
Eußenheim;97776
Eußerthal;76857
Euteneuen;57555
Eutin;23701
Eutingen;72184
Eutzsch;6888
Evenhausen;83552
Everingen;39359
Everode;31085
Eversdorf;29416
Evershorst;49459
Eversmeer;26556
Everstorf;23936
Everswinkel;48351
Evessen;38173
Ewighausen;56244
Exdorf;98631
Extertal;32699
Eyba;7318
Eydelstedt;49406
Eyendorf;21376
Eyrain;83739
Eystrup;27324
Fach;73453
Fachbach;56133
Fachingen;65626
Fahlhorst;14532
Fahrbinde;19288
Fahrdorf;24857
Fahren;23992
Fahren;24253
Fahrenbach;74864
Fahrendorf;21039
Fahrenhorst;24214
Fahrenkamp;18356
Fahrenkrug;23795
Fahrenwalde;17309
Fahrenzhausen;85777
Fahrland;14476
Fahrnpoint;83250
Faid;56814
Falken;99830
Falkenau;9569
Falkenauel;54673
Falkenbach;9429
Falkenberg;4895
Falkenberg;15518
Falkenberg;15848
Falkenberg;15926
Falkenberg;16259
Falkenberg;39615
Falkenberg;84326
Falkenberg;95685
Falkenfels;94350
Falkenhagen;15306
Falkenhagen;16928
Falkenhagen;17291
Falkenhain;4808
Falkenhain;15938
Falkenmühle;76891
Falkenrehde;14641
Falkensee;14612
Falkenstein;8223
Falkenstein;67808
Falkenstein;93167
Falkenthal;16775
Falkenwalde;17291
Fallingbostel;29683
Fambach;98597
Farchant;82490
Farchau;23909
Farchauermühle;23909
Fargau-Pratjau;24256
Farnstädt;6279
Farschweiler;54317
Farsleben;39326
Farven;27446
Fasanenhof;76694
Fasanenjäger;83371
Fasanerie;1561
Faßberg;29328
Fattigsmühle;95189
Faulbach;56235
Faulbach;97906
Faulenrost;17139
Faulungen;99976
Faustenbach;64658
Faustermühle;66482
Fedderingen;25779
Feddersdeich;25840
Fehl-Ritzhausen;56472
Fehrbellin;16833
Fehrow;3096
Feichten;83552
Feichten;84550
Feilbingert;67824
Feilitzsch;95183
Feilsdorf;54636
Felchow;16278
Feldafing;82340
Feldatal;36325
Feldberg;17258
Feldberg;79868
Felde;24242
Feldengel;99718
Feldheim;14913
Feldhorst;23858
Feldhusen;23942
Feldkirchen;85622
Feldkirchen;94351
Feldkirchen-Westerham;83620
Feldmühle;85276
Fell;54341
Fellbach;70734
Fellbach;70736
Fellen;97778
Fellheim;87748
Felm;24244
Fels;95131
Felsberg;34587
Felsbergerhof;67806
Felsenhagen;16928
Fensdorf;57580
Fensterbach;92269
Ferbitz;19309
Ferch;14548
Ferchels;14715
Ferchesar;14715
Ferchland;39317
Ferdinandshof;17379
Ferdinandshorst;17291
Fermerswalde;4895
Ferna;37339
Fernwald;35463
Ferschweiler;54668
Feucht;90537
Feuchtwangen;91555
Feuerscheid;54597
Feusdorf;54584
Fichtelberg;95686
Fichtenau;74579
Fichtenberg;4931
Fichtenberg;74427
Fichtenhusen;23996
Fichtenwalde;14547
Fiefbergen;24217
Fienstedt;6198
Fiersbach;57635
Filderstadt;70794
Filsen;56341
Filsum;26849
Filz;56766
Fincken;17209
Finkenbach-Gersweiler;67822
Finkenberg;74579
Finkenhaus;74579
Finkenthal;17179
Finnentrop;57413
Finning;86923
Finningen;89435
Finowfurt;16244
Finsing;85464
Finsterbergen;99898
Finsterbrunnertal;67705
Finsterwalde;3238
Fintel;27389
Firrel;26835
Fisch;54439
Fischach;86850
Fischbach;1477
Fischbach;36452
Fischbach;55743
Fischbach;66996
Fischbach;67693
Fischbach;99891
Fischbachau;83730
Fischbach-Oberraden;54675
Fischbachtal;64405
Fischbeck;39524
Fischen;87538
Fischerbach;77716
Fischingen;79592
Fischwasser;3238
Fischweier;76359
Fißmühle;56330
Fitzbek;25579
Fitzen;21514
Flachslanden;91604
Flacht;65558
Fladungen;97650
Flammersfeld;57632
Flarchheim;99986
Flarupholz;24392
Flatow;16766
Flechtingen;39345
Fleckeby;24357
Flecken Zechlin;16837
Fleckenbacher Sägmühle;73494
Fleethof;17099
Fleetmark;29416
Flein;74223
Fleischwangen;88373
Flemlingen;76835
Flemsdorf;16306
Flensburg;24937
Flensburg;24939
Flensburg;24941
Flensburg;24943
Flensburg;24944
Fleringen;54597
Flessau;39606
Flieden;36103
Fliegenberg;23919
Fließem;54636
Flieth;17268
Flintbek;24220
Flintsbach;83126
Flögeln;27624
Flöha;9557
Flohkraut;87671
Floh-Seligenthal;98593
Flomborn;55234
Flonheim;55237
Flörsbachtal;63639
Flörsheim;65439
Flörsheim-Dalsheim;67592
Florstadt;61197
Floß;92685
Flößberg;4651
Flossenbürg;92696
Flöthe;38312
Fluorn-Winzeln;78737
Flurstedt;99510
Flußbach;54516
Fluterschen;57614
Fockbek;24787
Föckelberg;66887
Fockendorf;4617
Fohrde;14798
Föhrden-Barl;25563
Föhren;54343
Fohren-Linden;55777
Forbach;76596
Forchheim;79362
Forchheim;91301
Forchtenberg;74670
Förderstedt;39443
Forheim;86735
Föritz;96524
Forst;3149
Forst;56754
Forst;56858
Forst;57537
Forst;67147
Forst;76694
Forstern;85659
Forsthaus Heide;68623
Forsthaus Ivendorf;18211
Forsthof Satow;18239
Forstinning;85661
Forstmehren;57635
Forstwolfersdorf;7570
Förtha;99819
Förthen;7937
Framersheim;55234
Frammersbach;97833
Frankelbach;67737
Frankena;3253
Frankenau;35110
Frankenberg;9669
Frankenberg;35066
Frankendorf;16818
Frankendorf;99441
Frankeneck;67468
Frankenfeld;27336
Frankenhain;4643
Frankenhain;4936
Frankenhain;99330
Frankenhardt;74586
Frankenheim;98634
Frankenroda;99826
Frankenstein;9569
Frankenstein;67468
Frankenthal;1909
Frankenthal;67227
Frankenwinheim;97447
Frankfurt;15230
Frankfurt;15232
Frankfurt;15234
Frankfurt;15236
Frankfurt;60308
Frankfurt;60311
Frankfurt;60313
Frankfurt;60314
Frankfurt;60316
Frankfurt;60318
Frankfurt;60320
Frankfurt;60322
Frankfurt;60323
Frankfurt;60325
Frankfurt;60326
Frankfurt;60327
Frankfurt;60329
Frankfurt;60385
Frankfurt;60386
Frankfurt;60388
Frankfurt;60389
Frankfurt;60431
Frankfurt;60433
Frankfurt;60435
Frankfurt;60437
Frankfurt;60438
Frankfurt;60439
Frankfurt;60486
Frankfurt;60487
Frankfurt;60488
Frankfurt;60489
Frankfurt;60528
Frankfurt;60529
Frankfurt;60549
Frankfurt;60594
Frankfurt;60596
Frankfurt;60598
Frankfurt;60599
Frankfurt;65929
Frankfurt;65931
Frankfurt;65933
Frankfurt;65934
Frankfurt;65936
Fränkisch-Crumbach;64407
Frankleben;6259
Frankweiler;76833
Franzburg;18461
Franzenheim;54316
Franzenmühle;56332
Frasdorf;83112
Fraßdorf;6386
Frauenau;94258
Frauenberg;55776
Frauenberg;82216
Frauenchiemsee;83256
Frauendorf;1945
Frauendorf;3058
Frauendorf;4668
Frauenhagen;16278
Frauenholz;73072
Frauenhurt;83374
Frauenmark;19374
Frauenneuharting;83553
Frauenprießnitz;7774
Frauensee;36460
Frauenstein;9623
Frauenwald;98711
Fräulein-Steinfort;23936
Fraulund;24405
Fraunberg;85447
Fraureuth;8427
Frauwalde;1990
Frechen;50226
Freckenfeld;76872
Freckleben;6456
Fredeburg;23909
Freden;31084
Fredenbeck;21717
Fredersdorf;14806
Fredersdorf;15370
Fredersdorf;16306
Fredesdorf;23826
Freesdorf;15926
Frehne;16945
Freiamt;79348
Freiberg;9599
Freiberg;71691
Freiberg;94469
Freiburg;21729
Freiburg;79098
Freiburg;79100
Freiburg;79102
Freiburg;79104
Freiburg;79106
Freiburg;79108
Freiburg;79110
Freiburg;79111
Freiburg;79112
Freiburg;79114
Freiburg;79115
Freiburg;79117
Freidorf;15757
Freienbessingen;99713
Freienhagen;16515
Freienhagen;37318
Freienhufen;1983
Freienorla;7768
Freiensteinau;36399
Freienthal;14822
Freienwill;24991
Freigericht;63579
Freihung;92271
Freilassing;83395
Frei-Laubersheim;55546
Freileben;4936
Freilingen;56244
Freimersheim;55234
Freimersheim;67482
Freinberg;83552
Freinsheim;67251
Freirachdorf;56244
Freisbach;67361
Freisen;66629
Freising;85354
Freising;85356
Freist;6347
Freistatt;27259
Freital;1705
Freiwalde;15910
Frellstedt;38373
Frelsdorf;27616
Fremdingen;86742
Frensdorf;96158
Freren;49832
Fresdorf;14552
Fresenboje;24358
Fresenbrügge;19300
Fresenburg;49762
Fresendelf;25876
Frestedt;25727
Frettenheim;67596
Fretterode;37318
Fretzdorf;16909
Freudenberg;16259
Freudenberg;24816
Freudenberg;57258
Freudenberg;92272
Freudenberg;97896
Freudenburg;54450
Freudenheim;94501
Freudenstadt;72250
Freudental;74392
Freyburg;6632
Freyenstein;16918
Freystadt;92342
Freyung;94078
Frickenhausen;72636
Frickenhausen;97252
Frickingen;88699
Friderikenhof;14979
Fridingen;78567
Fridolfing;83413
Friedberg;61169
Friedberg;86316
Friedbüsch;54655
Friedebach;7381
Friedeburg;6347
Friedeburg;26446
Friedeburgerhütte;6347
Friedelshausen;98634
Friedelsheim;67159
Friedenfelde;17268
Friedenfels;95688
Friedensau;39291
Friedensdorf;6254
Friedenthal;57589
Friedenweiler;79877
Friedersdorf;1744
Friedersdorf;2742
Friedersdorf;3253
Friedersdorf;4916
Friedersdorf;6749
Friedersdorf;15306
Friedersdorf;15754
Friedersdorf;98701
Friedewald;36289
Friedewald;57520
Friedland;9634
Friedland;15848
Friedland;17098
Friedland;37133
Friedrichroda;99894
Friedrichsaue;6449
Friedrichsaue;15328
Friedrichsbrunn;6507
Friedrichsdorf;6386
Friedrichsdorf;61381
Friedrichsgabekoog;25764
Friedrichsgraben;24799
Friedrichshafen;88045
Friedrichshafen;88046
Friedrichshafen;88048
Friedrichshagen;23936
Friedrichshain;3130
Friedrichshof;15754
Friedrichshof;16259
Friedrichshof;17337
Friedrichshof;18246
Friedrichshof;95460
Friedrichshöhe;98749
Friedrichsholm;24799
Friedrichskoog;25718
Friedrichsrode;99713
Friedrichsruh;21521
Friedrichsruhe;19374
Friedrichstadt;25840
Friedrichsthal;16306
Friedrichsthal;16515
Friedrichsthal;66299
Friedrichsthal;99735
Friedrichswalde;16247
Friedrichswalde;19339
Friedrichswalde;19412
Friedrichswerth;99869
Friedrich-Wilhelm-Lübke-Koog;25924
Frielendorf;34621
Friemar;99869
Frienstedt;99192
Frienstedt;99192
Friesack;14662
Friesdorf;6543
Friesenhagen;51598
Friesenheim;55278
Friesenheim;77948
Friesenried;87654
Friesoythe;26169
Frießnitz;7570
Frimberg;83546
Friolzheim;71292
Frittlingen;78665
Fritzenweng;83379
Fritzlar;34560
Frohburg;4654
Fröhden;14913
Fröhnd;79677
Frohndorf;99610
Frohnhofen;66903
Frohnloh;82349
Frohnsdorf;4618
Frohnsdorf;14929
Froitshub;83552
Frömmstedt;99638
Fröndenberg;58730
Fronderode;99735
Fronhausen;35112
Fronhofen;55471
Fronreute;88273
Frontenhausen;84160
Frose;6464
Fröttstädt;99880
Frücht;56132
Fuchsberg;85254
Fuchsenmühle;97828
Fuchshain;4683
Fuchshäusle;73453
Fuchshof;91344
Fuchshofen;53533
Fuchsmühl;95689
Fuchsmühle;76877
Fuchsstadt;97727
Fuchssteig;83364
Fuchstal;86925
Fuhlendorf;18356
Fuhlendorf;24649
Fuhlenhagen;21493
Fulda;36037
Fulda;36039
Fulda;36041
Fulda;36043
Fuldabrück;34277
Fuldatal;34233
Fulgenkoppel;18209
Fünfeichen;15890
Fünfmühlen;24861
Fünfstetten;86681
Fürfeld;55546
Fürnsbach;85465
Fürst;83329
Fürstenau;1778
Fürstenau;49584
Fürstenberg;16798
Fürstenberg;37699
Fürsteneck;94142
Fürstenfeldbruck;82256
Fürstenstein;94538
Fürstental;34516
Fürstenwalde;1778
Fürstenwalde;15517
Fürstenwerder;17291
Fürstenzell;94081
Fürstlich Drehna;3246
Furt;83739
Furth;82041
Furth;83552
Furth;84095
Fürth;64658
Fürth;90762
Fürth;90763
Fürth;90765
Fürth;90766
Fürth;90768
Furth im Wald;93437
Fürthen;57539
Furtwangen;78120
Füssen;87629
Fußgönheim;67136
Fußstall;83714
Gaarz;19309
Gaarzerhof;18230
Gabermühle;91077
Gaberndorf;99428
Gaberndorf;99428
Gablenz;2953
Gablenz;3058
Gablenz-Kromlau;2953
Gablingen;86456
Gabsheim;55288
Gachenbach;86565
Gackenbach;56412
Gädebehn;19089
Gadebusch;19205
Gadegast;6918
Gädheim;97503
Gadow;16909
Gadsdorf;15806
Gagel;39606
Gägelow;19406
Gägelow;23968
Gager;18586
Gaggenau;76571
Gagzow;23974
Gahlenz;9569
Gahma;7356
Gahro;3246
Gahry;3149
Gaiberg;69251
Gaienhofen;78343
Gaildorf;74405
Gailingen;78262
Gaimersheim;85080
Gaimersheim;85080
Gaisberg;83546
Gaißach;83674
Galenbeck;17153
Galenbeck;17337
Galenberg;56651
Gallentin;23996
Gallin;19258
Gallin;19386
Gallinchen;3058
Gallmersgarten;91605
Gallschütz;1665
Gallun;15749
Galm;14715
Galmsbüll;25899
Galow;16278
Gamlen;56761
Gammelby;24340
Gammelin;19230
Gammelsdorf;85408
Gammelshausen;73108
Gammertingen;72501
Gamstädt;99192
Gandenitz;17268
Ganderkesee;27777
Gandesbergen;27324
Gangelt;52538
Gangkofen;84140
Gangloffsömmern;99634
Gänsberg;83329
Gantenbeck;23948
Ganzer;16845
Ganzlin;19395
Gapel;14727
Gappenach;56294
Garbsen;30823
Garbsen;30826
Garbsen;30827
Garching;84518
Garching;85748
Gardelegen;39638
Garding;25836
Garding, Kirchspiel;25836
Garlin;19357
Garlipp;39579
Garlitz;14715
Garlitz;19249
Garlstorf;21376
Garmisch-Partenkirchen;82467
Garnbach;6571
Garrel;49681
Garrey;14823
Gars;83536
Gars Bahnhof;83555
Garsedow;19322
Garstedt;21441
Garthe;49685
Gartow;16845
Gartow;29471
Gärtringen;71116
Gartz;16307
Garvensdorf;18233
Garvsmühlen;18230
Garz;16845
Garz;17419
Garz;18574
Garz;39524
Garzau;15345
Garzin;15345
Gastemühle;56332
Gasteyers Mühle;56379
Gasthafen;25899
Gastrose-Kerkwitz;3172
Gatersleben;6466
Gatow;16306
Gattendorf;95185
Gatterstädt;6268
Gau-Algesheim;55435
Gau-Bickelheim;55599
Gau-Bischofsheim;55296
Gauchshausen;73494
Gauern;7580
Gauernitz;1665
Gauersheim;67294
Gäufelden;71126
Gaugrehweiler;67822
Gau-Heppenheim;55234
Gaukönigshofen;97253
Gau-Odernheim;55239
Gaushorn;25782
Gaußig;2633
Gauting;82131
Gau-Weinheim;55578
Gaymühle, Gem Bauler;54673
Gaymühle, Gem Berscheid;54673
Gaymühle, Gem Biesdorf;54675
Gaymühle, Gem Wallendorf;54675
Gebenbach;92274
Gebersdorf;15936
Gebersdorf;98743
Gebesee;99189
Gebhardshain;57580
Gebhardshütte;64711
Gebroth;55595
Gebsattel;91607
Gebstedt;99510
Gechingen;75391
Gedern;63688
Geelbek;24882
Geesow;16307
Geeste;49744
Geestgottberg;39615
Geesthacht;21502
Gefell;7926
Gefell;54552
Gefell;96524
Gefrees;95482
Gehaus;36404
Geheege;7819
Gehlberg;98559
Gehlberg;98559
Gehlert;57627
Gehlmühle;76887
Gehlweiler;55490
Gehofen;6571
Gehrde;49596
Gehrden;30989
Gehrden;39264
Gehren;15926
Gehren;98708
Gehrendorf;39359
Gehrhof;25361
Gehringswalde;9429
Gehrweiler;67724
Geichlingen;54675
Geiersthal;94244
Geigant;93449
Geilenkirchen;52511
Geilnau;56379
Geilsdorf;99326
Geisa;36419
Geisbüschhof;56729
Geiselbach;63826
Geiselberg;67715
Geiselhöring;94333
Geiselwind;96160
Geisenfeld;85290
Geisenhain;7646
Geisenhausen;84144
Geisenheim;65366
Geisenhofen;82282
Geisfeld;54413
Geisig;56357
Geising;1778
Geisingen;78187
Geisleden;37308
Geislingen;72351
Geislingen;73312
Geislinger Weg;73345
Geismar;36419
Geismar;37308
Geitersdorf;7407
Geithain;4643
Gelbensande;18182
Gelchsheim;97255
Geldern;47608
Geldersheim;97505
Geleitshäuser;4720
Gelenau;9423
Gelenberg;53539
Gellmersdorf;16278
Gelmeroda;99428
Gelmeroda;99428
Gelnhausen;63571
Gelsenkirchen;45879
Gelsenkirchen;45881
Gelsenkirchen;45883
Gelsenkirchen;45884
Gelsenkirchen;45886
Gelsenkirchen;45888
Gelsenkirchen;45889
Gelsenkirchen;45891
Gelsenkirchen;45892
Gelsenkirchen;45894
Gelsenkirchen;45896
Gelsenkirchen;45897
Gelsenkirchen;45899
Geltendorf;82269
Gelting;24395
Geltorf;24884
Geltow;14542
Gemmerich;56357
Gemmingen;75050
Gemmrigheim;74376
Gemünd;54673
Gemünden;35285
Gemünden;35329
Gemünden;55490
Gemünden;56459
Gemünden;97737
Genderkingen;86682
Gengenbach;77723
Genschmar;15328
Genshagen;14974
Gensingen;55457
Gentha;6918
Genthin;39307
Gentingen;54675
Genzkow;17099
Georgenberg;92697
Georgensgmünd;91166
Georgenthal;99887
Georgenzell;98590
Georgsdorf;49828
Georgsmarienhütte;49124
Gera;7545
Gera;7546
Gera;7548
Gera;7549
Gera;7551
Gera;7552
Gera;7554
Gera;7557
Geraberg;98716
Gerabronn;74582
Gerach;55743
Gerach;96161
Geratskirchen;84552
Gerbach;67813
Gerbershausen;37318
Gerbisbach;6922
Gerbitz;6429
Gerblinghausen;82041
Gerbrunn;97218
Gerbstedt;6347
Gerdau;29581
Gerdshagen;16928
Gerdshagen;18239
Gerer;83546
Geretsried;82538
Gerhardsbrunn;66894
Gerhardshofen;91466
Gerichshain;4827
Gerichtsmannsmühle;55743
Gering;56751
Geringswalde;9326
Gerlebogk;6420
Gerlingen;70839
Germaringen;87656
Germendorf;16767
Germering;82110
Germersheim;76726
Germerswang;82216
Gernrode;6507
Gernrode;37339
Gernsbach;76593
Gernsheim;64579
Gernstedt;6648
Geroda;7819
Geroda;97779
Gerold;82493
Geroldsgrün;95179
Geroldshausen;97256
Gerolfingen;91726
Gerolsbach;85302
Gerolsheim;67229
Gerolstein;54568
Gerolzhofen;97447
Gerschweiler;89537
Gersdorf;4703
Gersdorf;9355
Gersdorf;18230
Gersdorf;83565
Gersdorf-Möhrsdorf;1920
Gersfeld;36129
Gersheim;66453
Gersten;49838
Gerstenberg;4617
Gerstengrund;36419
Gerstetten;89547
Gersthofen;86368
Gerstungen;99834
Gerswalde;17268
Gerterode;37355
Gertewitz;7389
Gerthausen;98617
Gertitzsch;4741
Gerwisch;39175
Gerzen;84175
Geschendorf;23815
Gescher;48712
Geschwenda;98716
Gesees;95494
Geseke;59590
Geslau;91608
Gesotz, Gem Feuerscheid;54597
Gesotz, Gem Hargarten;54597
Gesotz, Gem Plütscheid;54597
Gessertshausen;86459
Gestecke;34305
Gestratz;88167
Getelo;49843
Gettengrün;8626
Gettorf;24214
Geusa;6217
Geußnitz;6712
Gevelsberg;58285
Gevelsberg;58285
Gevenich;56825
Gevensleben;38384
Geversdorf;21784
Geyer;9468
Giebelstadt;97232
Gieboldehausen;37434
Gieckau;6618
Giekau;24321
Gielde;38315
Gieleroth;57610
Gielert;54424
Gielow;17139
Gielsdorf;15345
Giengen;89537
Gierschnach;56294
Giershausen;57632
Giersleben;6449
Gierstädt;99100
Gierstling;83364
Giesdorf;54614
Gieselauschleuse;24797
Giesen;31180
Giesenhagen;16928
Giesenhausen;57612
Giesenhorst;16845
Giesensdorf;15848
Giesensdorf;16928
Giesensdorf;23909
Gieseritz;29413
Gieshof-Zelliner Loose;15324
Gieshübel;56377
Gießen;35390
Gießen;35392
Gießen;35394
Gießen;35396
Gießen;35398
Gießhübelmühle;75031
Gießmannsdorf;15926
Gießübel;98667
Gifhorn;38518
Gifizenmoos;78713
Giggenhausen;85376
Gigling;83368
Gilching;82205
Gillenbeuren;56825
Gillenfeld;54558
Gillersdorf;98701
Gilserberg;34630
Gilten;29690
Gilzem;54298
Gimbsheim;67578
Gimbweiler;55767
Gimritz;6198
Gindorf;54657
Gingen;73333
Gingst;18569
Ginsheim-Gustavsburg;65462
Ginsweiler;67742
Gipperath;54533
Girgenrath;53547
Girkenroth;56459
Girod;56412
Gischau;29416
Gischow;19386
Gittelde;37534
Gladau;39307
Gladbach;54518
Gladbeck;45964
Gladbeck;45966
Gladbeck;45968
Gladenbach;35075
Gladigau;39606
Glaisin;19288
Glaitenhof;71549
Glambeck;16775
Glambeck;18246
Glanbrücken;66887
Glandorf;49219
Glan-Münchweiler;66907
Glasau;23719
Glasehausen;37308
Glasewitz;18276
Glashagen;18209
Glashagen;23996
Glashütte;1768
Glashütte;14827
Glashütte;23812
Glashütte;92690
Glashütte-Dittersdorf;1768
Glashütte-Johnsbach;1768
Glashütte-Luchau;1768
Glashütten;61479
Glashütten;95496
Glashütte-Schlottwitz;1768
Glasin;23992
Glasmühle;75385
Glasow;17322
Glattbach;63864
Glatten;72293
Glattenzainbach;71540
Glau;14959
Glaubitz;1612
Glauburg;63695
Glauchau;8371
Glauzig;6369
Glebitzsch;6794
Glees;56653
Gleichamberg;98646
Gleichen;37130
Gleima;7356
Gleina;1594
Gleina;6632
Gleiritsch;92723
Gleißenberg;93477
Gleisweiler;76835
Gleiszellen-Gleishorbach;76889
Gletzow;19217
